address,symbol,ath_source,stored_ath_mcap,fee_peak_mcap,undershoot,n_ticks,alert_time
CfiYfZfUdnQE7v1JuPM1EHezhpmiKLvZoBkg224Fpump,Trollisa,birdeye_running_max,76990.00,80830.86,0.0475,1044,1777976975.7778265
E4XuY6S53A5dsNackvJVVBduCka17ZGAKciaQHrGpump,RDTN,birdeye_running_max,57590.00,41624.65,-0.3836,1857,1777977910.9720693
4ZK1Dw9PzVHCXXoFJ8F2WiuRx5REtLvA5uvMucX8pump,LEADERS,birdeye_running_max,7491000.00,1973213.05,-2.7963,2117,1777982001.958996
HfVxfzmAPWER3LQ8VbDcbch6ACchbpuyXv3ujgRtpump,Rose,birdeye_running_max,170000.00,41974.11,-3.0501,1038,1777982313.3943222
EafAfGrHP9fy42Y9qcZS8NST1WXudxqtrviS6Jvpump,CORAJE,birdeye_corrected,74870.52,76515.09,0.0215,4306,1777982601.0680335
2mj9udtb2tLHCPwrCLDw2prvzQ257TEP66v3eyxhpump,TARZAN,birdeye_running_max,76610.00,82752.50,0.0742,5317,1777985029.492616
HbJM9y3KK6YrHXgKLyawJavwgG5QSWNZDUmSRUjupump,FUND5,birdeye,60155.62,61296.63,0.0186,4544,1777985767.9236324
9NMpXjw3jGpqxp4DsbxQy1WdzScWjSYssSoeqTWzpump,Sakura,birdeye_reseeded,52795.43,53864.16,0.0198,4119,1777986013.5198126
Dut7gfyTsJ6vR7ufYMiho6ppKizQe1HJdiCo3yZcpump,turdcoin,birdeye_reseeded,170951.17,171759.76,0.0047,13600,1777986259.622823
BFPEbWKfMX8HcZei9aAFbETB6tXV5suRrf9tRyifpump,SHT,birdeye_running_max,125500.00,56400.13,-1.2252,510,1777986678.4184022
FiLfQGvW7vBL3Z5KSbHH1ECD9b8h7ZjV63q9jyBpump,JEET,birdeye_running_max,71450.00,74622.97,0.0425,1083,1777987275.0821588
J25xanSYHqQ3qzDJ5oQBED8tBRHCih8QK5aDggNhpump,Kaiser,birdeye_reseeded,81589.55,93938.16,0.1315,6092,1777987651.7182794
FyKukDrSyFH8byBiV7Z7vq5d9V6XHNpXsSqhCx9spump,ROJO,birdeye_running_max,264500.00,229865.97,-0.1507,6625,1777988805.7349753
BHnRgZG5CFM86wwhc4TSEQXB4JTMPWKhNNJDYS7Epump,wrdog,birdeye_running_max,500000.00,398566.76,-0.2545,4612,1777990134.5507703
7ebpkp8S4Aqdpio3tJtqVpGkPP5W5rhsAx6V78HZpump,dolphins,birdeye_running_max,147400.00,161833.25,0.0892,8885,1777995745.8469493
35Lod8esDj2c1QuzceUYMRhBwTJuEzoYD4fqttk1pump,GME,birdeye_running_max,521900.00,356035.68,-0.4659,5802,1777998747.3989978
3AZ1duVAEvF7s2pyVHXhnUwL238GLyMLjnKNnSDppump,1,birdeye_reseeded,136732.51,139567.96,0.0203,10648,1777999973.177968
Ck4N7jv25qc43v4UhdDkQeUJVcKsHWY96v6Qbjg3pump,dePorted,birdeye_reseeded,78146.59,78871.20,0.0092,8257,1778000548.6122847
3Yv9g37xdRHusZqb9Aji1kGKgy3zYcMnBRb6htsDpump,LUKE,birdeye_running_max,133100.00,53456.97,-1.4899,4469,1778001220.017372
8V9yaE8YHX2aJvLVjkxCaQXH4y8DRLhpxy5f8zCkpump,EAGLE,running_max,65480.00,69047.22,0.0517,3068,1778001367.0138242
4sPePkv1Xx5vt8FkJxF5EAXLaFgNH9S2aUirCf5wpump,BioHash,running_max,76770.00,77912.65,0.0147,1817,1778001605.406642
Cyc4niiR4C1XbntfWmdg88JFYmAnrU4ETLa22MRtpump,JOHN,running_max,76680.00,90180.84,0.1497,10068,1778002634.0496612
FNGgHktRsWKWmbA11ruyaFQXYCL85rSXc6fRpYxRpump,CUM,birdeye_reseeded,78775.35,79876.90,0.0138,7436,1778005120.7203047
CYSVBkXuuDaZ4gNqzQPaWuoxejr6ZgTKLSJeGNdjpump,LIMINAL,birdeye_running_max,1438000.00,404792.35,-2.5524,1685,1778006790.0996153
Gv2i54czMSYbkygCKhLRYc59JNVtfrofFwd9mPqZpump,AI,birdeye_running_max,68680.00,79346.69,0.1344,6570,1778008106.3688462
3o6RF4XvSAyVavD1JWNqwasBi4L69ZJUhy9Pm8Tfpump,MUTHER,birdeye_running_max,97080.00,102333.88,0.0513,2092,1778009716.4745042
DyLLWBJfzPayMrEmNpr8qcky7ZLpUeEVc8u6NCCopump,EBAY,birdeye_reseeded,96925.01,57292.06,-0.6918,2593,1778009867.9183273
q3TkDrKLQPqHPENJHtQJaVPQaLL1wWzx31z2ppFpump,Tribes,birdeye_reseeded,110404.43,110781.59,0.0034,2152,1778013982.0007246
AVoyHUFwCDj3JACP8WZjnhK4fw8pKugHTTXhEHH3pump,DENALI,birdeye_corrected,268262.84,268825.68,0.0021,15425,1778014119.3786612
13i7SfDDzg3t4MQnfZNtFKptHpv8HR2eaGRMfetSpump,熊猫,running_max,166400.00,183671.12,0.0940,3989,1778014646.8451035
GaUDMywPZK7qCL8JkaNx5MwN6xoYsje4f5qsQEMPpump,NEVER,birdeye_reseeded,108782.16,108847.02,0.0006,6094,1778015069.637861
